,A,B,C,D
2000-01-01,1.4871296680117398,1.0846879405481313,0.24533732898804814,0.21123512976287762
2000-01-02,0.9670199733978059,1.2121131869762052,-0.07590287079136035,1.0668643154538997
2000-01-03,1.1897497177047334,0.649406320794124,-0.4779667218666378,2.221337007799515
2000-01-04,1.1517680153463394,1.002833848196079,-1.0891344388002224,0.7847999382307056
2000-01-05,1.3090831399028893,1.7088308353369923,0.298757514565549,1.09947871974937
2000-01-06,0.973050570185285,1.3286340765447964,0.21873847880898029,0.4570154611221712
2000-01-07,1.8457722812641622,2.649018171206924,-0.42481296544399144,-1.5727838620726207
2000-01-08,2.2094051928357,3.1874534154063796,-1.4028616902170263,-2.470568788345032
2000-01-09,1.3415427273098257,3.2088320888744333,-1.394496701340188,-2.079236825728615
2000-01-10,2.36122652467491,4.311451981324639,-1.9882092371169038,-3.4161894674589366
2000-01-11,3.1339284367908027,3.7067939908993295,-1.211989736241629,-4.042162540949752
2000-01-12,4.013290025351585,4.827226360916245,-1.190733640844047,-3.0190255159606543
2000-01-13,4.322444046592717,2.647089571186986,-0.36654495583234215,-3.3645737605618473
2000-01-14,4.310870391994691,2.196794171504081,-1.8582139562603217,-1.5408213454245367
2000-01-15,4.236167182184504,3.539832308077055,-1.9620192619192367,-1.2770192699507525
2000-01-16,3.4460516058241266,3.8793191284921003,-2.074827353215947,-1.430781296285621
2000-01-17,3.9304370199150025,3.3450179983133483,-3.711256990228434,-1.465498597164992
2000-01-18,5.214043541255071,2.3308856766794523,-2.0472050930247527,-1.6920846185702558
2000-01-19,6.158653729733755,2.289356046994313,-2.1471867531530546,-1.455719972377972
2000-01-20,6.338878801107506,-0.015330631204630407,-2.6995675421712564,-2.091204083209923
2000-01-21,6.95431524631021,-0.09411164006247753,-0.9569143092896915,-1.6235826590229656
2000-01-22,6.604755061002562,0.8822410961313012,-2.191873515405342,-1.208613314175778
2000-01-23,5.754196353752958,0.6316631630960413,-2.218586435813346,-2.2071730828431315
2000-01-24,6.751461892288881,0.32913422231834244,0.3066049324680824,-1.8530663326668813
2000-01-25,8.153639080156443,-0.33007233296331706,-1.398586814191279,-1.9897664043106198
2000-01-26,7.374718876807002,-0.5605116313946469,-1.3359878396541482,-1.4850474974378702
2000-01-27,5.218919009156166,0.32228505122567386,-2.3408810998753102,-2.22272371856668
2000-01-28,4.745984127674512,1.2383798512547481,-2.0187497012768056,-1.1811413176196472
2000-01-29,6.055158617262915,0.7372082647289191,-1.7934753436027226,-0.7379939830017107
2000-01-30,6.79715064987278,0.5991682234745354,-2.8564011391689847,-1.5326465883849005
2000-01-31,7.050092121923953,0.7811548520413806,-3.0335274751824404,-0.7688197730242629
2000-02-01,7.200246151354651,1.3645297832089205,-2.453580259866369,-0.4581573869009811
2000-02-02,6.558955973248158,1.3162982057736694,-2.429091672747904,0.05643584522956707
2000-02-03,6.585405919949149,1.7535814401110241,-4.579612443014103,1.3292225864831317
2000-02-04,5.177695774858275,3.9875546650814675,-6.529469539173908,1.3258539476593296
2000-02-05,3.640695846384781,4.156143071205994,-6.332471317368531,-0.03600317305476608
2000-02-06,3.4279171435586835,4.278988222765187,-5.723815228004664,-0.4151538561419947
2000-02-07,2.0752952893472942,4.146620891477568,-6.130893216375174,-0.8790653731471263
2000-02-08,2.222905889811658,6.40151121905226,-6.20873464331489,-1.0553191274890537
2000-02-09,3.557311121578273,5.963720347411061,-5.735303343752815,-2.1498558772663188
2000-02-10,1.8071031916757325,5.039520078670444,-5.21077841855868,-3.4823092295840627
2000-02-11,1.9095091328278395,6.415462437814889,-5.844039968137518,-4.070248801462301
2000-02-12,2.59739797246268,6.555571115429147,-4.438515654581538,-4.148861136328457
2000-02-13,1.2482014665203187,7.081161680332995,-7.078701086475891,-3.769884014523808
2000-02-14,-0.04318310951972948,7.574064397276887,-6.599562328272133,-4.018461726270243
2000-02-15,0.09306776360625577,8.049949495131692,-6.092331080773919,-4.0272863578375
2000-02-16,0.5984818459535829,10.422046234499174,-6.4088025641358985,-4.075158701076666
2000-02-17,-0.7321452705715229,10.143132027987024,-4.672048882939863,-5.388306912792348
2000-02-18,-0.28236854250798804,10.424543800121507,-3.6871165480037087,-5.31367196430677
2000-02-19,-0.8872724999539093,10.251312214587996,-3.2046044826057463,-5.5443821728608755
2000-02-20,-1.9457688216727895,9.567742922197336,-3.23398776255364,-4.039288973762694
2000-02-21,-0.6377113498532081,9.307520081117682,-3.324154791972455,-3.9844715855969564
2000-02-22,-0.225515694360872,7.906034878821998,-3.497720502862274,-3.9954617359962854
2000-02-23,-0.6058848160672892,6.677439795129577,-3.1722405668980023,-5.532524384573807
2000-02-24,-1.2016792176560374,5.047438750959929,-2.9850478335738555,-6.066488223554816
2000-02-25,-1.3400314783787688,5.549262094021589,-3.771292596116209,-6.528553445018667
2000-02-26,-0.9237671974215244,6.893568037255597,-3.853398134117923,-6.544613430922861
2000-02-27,-2.031963328250249,7.6227186320342915,-3.44591980817421,-5.098692087226003
2000-02-28,-2.3195961882427976,6.162386697056857,-3.907525275115722,-3.579793731830077
2000-02-29,-2.830670691373228,6.579507022321677,-3.8893955616692977,-3.1950918716213366
2000-03-01,-2.9164763743738282,6.977325781519877,-5.960782071928104,-1.6252040773197132
2000-03-02,-1.2570508096467827,6.818567869089376,-5.617790110960888,-2.3207353932860544
2000-03-03,1.10886983134772,9.015449271051244,-6.842092875137054,-2.135247378921437
2000-03-04,0.20355532076102634,8.875272982483866,-6.829331709590062,-3.366898248873415
2000-03-05,0.8103826697978865,9.928300461916198,-5.867750203380074,-3.1304968225398224
2000-03-06,3.432862745956551,11.161789167018789,-5.993682974827945,-3.3122403724021083
2000-03-07,3.7691567955938354,10.325841819233771,-5.099973728692962,-1.9385903883529958
2000-03-08,3.193387076734882,11.323779659846917,-5.947876911413655,-0.21048924980434847
2000-03-09,2.889820001322649,9.896354602560885,-7.006303883002952,-0.5572423260435605
2000-03-10,2.423836106920948,10.067400939193616,-6.790669301078824,-2.3984097290580273
2000-03-11,1.19079003187976,9.950827247708263,-6.288676697292204,-1.5686658709103805
2000-03-12,1.9019890496459784,8.769561461603082,-6.443069115473629,-2.737363160127718
2000-03-13,2.6851675020991315,7.459718753132427,-5.09334613536458,-2.3327111770600486
2000-03-14,2.453715958963209,8.689257085376038,-4.432137225543021,-1.830713099772698
2000-03-15,3.4513406355053324,9.739917319057572,-4.302279017354351,-0.89458780925089
2000-03-16,3.1935725612134394,8.018361032126723,-4.74973019756981,-1.700336887720849
2000-03-17,2.6120904679122687,9.074071256708313,-6.166489852316894,-2.6440561668850595
2000-03-18,2.4903647022159756,9.37259884886292,-6.1006302198491795,-2.7237901386939276
2000-03-19,2.209241952167396,8.73782708801868,-6.5471166744224885,-3.131353171508007
2000-03-20,0.8699373923552158,9.41455199292157,-6.342848634329173,-3.432266782220491
2000-03-21,-1.048863036061131,9.532800474546107,-5.576534271158975,-4.261937790175896
2000-03-22,-2.0476992950725457,9.45920815106516,-5.052476510443066,-5.319927209116088
2000-03-23,-2.1628228614497362,9.786476012620158,-5.084679559657551,-6.5273482718029365
2000-03-24,-3.0786659458662466,8.738478114080788,-3.9907400072472266,-8.766446235828978
2000-03-25,-3.3099925475753467,9.034829435127516,-4.433126881254614,-9.253616902878958
2000-03-26,-2.9678271786636445,8.40680022628461,-3.941527245951308,-9.237813744739768
2000-03-27,-2.310860023865259,8.977299575305462,-3.6866665797943674,-8.908257387315322
2000-03-28,-1.6625355335163015,9.214246054589516,-4.068310284776736,-8.725002568967083
2000-03-29,-3.5652786504149407,8.956216056531451,-5.047662714624777,-10.365477824522774
2000-03-30,-1.989901767958737,9.044936463439456,-5.697798524485166,-10.34056411486908
2000-03-31,-0.7399237182866307,8.368304006515618,-5.173395221813034,-11.672108564538867
2000-04-01,-0.632218106331481,7.134874956601124,-6.396478486514768,-12.896250035255017
2000-04-02,-1.3322364256300407,6.169506354787368,-5.746572230654583,-13.344741867013871
2000-04-03,-1.6939690004853822,6.681516758484037,-5.692109591561258,-13.408108827640245
2000-04-04,-2.514316349245265,6.865700697990056,-6.959856066168136,-12.516587491005597
2000-04-05,-1.6788906339650138,7.847448549955571,-7.505904717961531,-12.772603563515526
2000-04-06,-1.393937493030882,7.353449417538251,-7.46711230418077,-13.106284907807352
2000-04-07,-0.8348272354983152,7.406171770011806,-7.1495830964367295,-12.55188695272206
